(s),(mm),(kgf)
0,0,-0.00014
0.1,0.00075,0.00172
0.2,0.00502,0.01643
0.3,0.00916,0.03095
0.4,0.01258,0.04312
0.5,0.01593,0.05543
0.6,0.01932,0.06742
0.7,0.02252,0.07884
0.8,0.02581,0.09054
0.9,0.02928,0.10312
1,0.03246,0.11451
1.1,0.03587,0.1269
1.2,0.03939,0.1398
1.3,0.04264,0.15191
1.4,0.04577,0.16349
1.5,0.04944,0.1777
1.6,0.05269,0.18971
1.7,0.05595,0.20228
1.8,0.0594,0.21546
1.9,0.06276,0.22824
2,0.06582,0.23998
2.1,0.06927,0.25361
2.2,0.07262,0.26595
2.3,0.07593,0.26013
2.4,0.07925,0.26061
2.5,0.08265,0.25925
2.6,0.08595,0.25687
2.7,0.08925,0.25696
2.8,0.09267,0.25723
2.9,0.09623,0.25774
3,0.09937,0.25716
3.1,0.10255,0.25745
3.2,0.10612,0.2578
3.3,0.10927,0.25771
3.4,0.11257,0.25773
3.5,0.11607,0.25766
3.6,0.1193,0.25759
3.7,0.12245,0.25792
3.8,0.12606,0.25798
3.9,0.12924,0.25812
4,0.13254,0.259
4.1,0.13608,0.26135
4.2,0.13944,0.26293
4.3,0.14261,0.24884
4.4,0.14601,0.24848
4.5,0.14937,0.2483
4.6,0.15269,0.24882
4.7,0.1559,0.24844
4.8,0.15931,0.24867
4.9,0.16257,0.24885
5,0.16584,0.24887
5.1,0.16926,0.2499
5.2,0.17281,0.25192
5.3,0.17592,0.25267
5.4,0.17925,0.2528
5.5,0.18277,0.25331
5.6,0.18596,0.25338
5.7,0.18928,0.25339
5.8,0.19282,0.25383
5.9,0.19612,0.2554
6,0.19916,0.25752
6.1,0.20263,0.25766
6.2,0.20588,0.25772
6.3,0.20926,0.25794
6.4,0.21268,0.2578
6.5,0.21611,0.25781
6.6,0.21918,0.25785
6.7,0.22266,0.25749
6.8,0.22601,0.25799
6.9,0.22951,0.25807
7,0.23263,0.2586
7.1,0.23605,0.26014
7.2,0.23936,0.26321
7.3,0.2425,0.26649
7.4,0.24591,0.27016
7.5,0.24939,0.27468
7.6,0.25253,0.27955
7.7,0.2558,0.28601
7.8,0.25941,0.29697
7.9,0.26253,0.30736
8,0.26587,0.31939
8.1,0.26944,0.33311
8.2,0.27281,0.34647
8.3,0.27589,0.35898
8.4,0.27938,0.37432
8.5,0.28266,0.38855
8.6,0.28604,0.40344
8.7,0.28929,0.4177
8.8,0.29269,0.4334
8.9,0.29581,0.44758
9,0.29928,0.46322
9.1,0.30258,0.47848
9.2,0.3061,0.49485
9.3,0.3093,0.51007
9.4,0.31268,0.52597
9.5,0.31613,0.54201
9.6,0.3193,0.55659
9.7,0.32263,0.57231
9.8,0.32617,0.58952
9.9,0.3294,0.60401
10,0.33249,0.61884
10.1,0.33608,0.63591
10.2,0.33916,0.65062
10.3,0.34249,0.66609
10.4,0.34601,0.68284
10.5,0.34945,0.69943
10.6,0.35247,0.71405
10.7,0.35599,0.73078
10.8,0.35934,0.7469
10.9,0.36272,0.7629
11,0.36602,0.7791
11.1,0.36945,0.79595
11.2,0.37264,0.81098
11.3,0.37596,0.82697
11.4,0.37928,0.843
11.5,0.38266,0.85958
11.6,0.38587,0.87489
11.7,0.38922,0.89117
11.8,0.3927,0.90848
11.9,0.3959,0.92397
12,0.39921,0.94001
12.1,0.4028,0.95755
12.2,0.40605,0.97346
12.3,0.40922,0.98898
12.4,0.41287,1.00694
12.5,0.41604,1.02233
12.6,0.41929,1.03812
12.7,0.4227,1.0552
12.8,0.42604,1.07151
12.9,0.42909,1.08663
13,0.43265,1.1042
13.1,0.43596,1.12069
13.2,0.43932,1.1372
13.3,0.44257,1.1533
13.4,0.44606,1.17068
13.5,0.44929,1.18669
13.6,0.45263,1.20319
13.7,0.45605,1.22021
13.8,0.45948,1.23729
13.9,0.46266,1.25264
14,0.46588,1.26873
14.1,0.46936,1.28603
14.2,0.47252,1.30183
14.3,0.47586,1.31822
14.4,0.47941,1.33556
14.5,0.48264,1.35174
14.6,0.48581,1.36782
14.7,0.48938,1.38536
14.8,0.49262,1.40131
14.9,0.49595,1.41744
15,0.49954,1.43585
15.1,0.50279,1.4522
15.2,0.5059,1.46725
15.3,0.50937,1.48432
15.4,0.51269,1.50036
15.5,0.51594,1.51711
15.6,0.51927,1.53283
15.7,0.52264,1.54977
15.8,0.52591,1.56618
15.9,0.52924,1.5825
16,0.53259,1.59971
16.1,0.53613,1.61736
16.2,0.53931,1.63267
16.3,0.54265,1.6491
16.4,0.54612,1.66625
16.5,0.54927,1.68173
16.6,0.55261,1.69819
16.7,0.55609,1.71552
16.8,0.5593,1.73121
16.9,0.56244,1.74662
17,0.56601,1.76433
17.1,0.56921,1.7801
17.2,0.57259,1.79716
17.3,0.57601,1.8137
17.4,0.57942,1.83071
17.5,0.58253,1.84612
17.6,0.586,1.86318
17.7,0.58942,1.88008
17.8,0.59276,1.89666
17.9,0.596,1.91253
18,0.59938,1.92907
18.1,0.60266,1.94503
18.2,0.60579,1.96062
18.3,0.60924,1.97749
18.4,0.61281,1.99507
18.5,0.61594,2.01047
18.6,0.6192,2.02615
18.7,0.62275,2.04386
18.8,0.62594,2.05904
18.9,0.62929,2.07565
19,0.63289,2.09344
19.1,0.6361,2.10911
19.2,0.6392,2.12387
19.3,0.6427,2.14091
19.4,0.64595,2.15662
19.5,0.64922,2.1725
19.6,0.65259,2.1893
19.7,0.65603,2.20563
19.8,0.65912,2.22048
19.9,0.66258,2.23738
20,0.66596,2.25365
20.1,0.66942,2.27036
20.2,0.67263,2.28564
20.3,0.6761,2.30232
20.4,0.67943,2.31879
20.5,0.68254,2.33328
20.6,0.68598,2.34959
20.7,0.68949,2.3667
20.8,0.6926,2.38131
20.9,0.69578,2.39633
21,0.69937,2.41393
21.1,0.70257,2.42912
21.2,0.7059,2.44519
21.3,0.70938,2.46169
21.4,0.71276,2.47794
21.5,0.71586,2.49258
21.6,0.71945,2.50947
21.7,0.72272,2.5252
21.8,0.72604,2.54048
21.9,0.72937,2.55578
22,0.73279,2.57257
22.1,0.73591,2.58747
22.2,0.73921,2.60294
22.3,0.74257,2.61863
22.4,0.74604,2.63535
22.5,0.74921,2.65057
22.6,0.75262,2.66621
22.7,0.75602,2.68258
22.8,0.75919,2.69717
22.9,0.76263,2.71406
23,0.76621,2.73054
23.1,0.76939,2.74552
23.2,0.77254,2.76019
23.3,0.77618,2.77708
23.4,0.77924,2.79123
23.5,0.78249,2.80673
23.6,0.78597,2.82284
23.7,0.78938,2.83895
23.8,0.79242,2.85242
23.9,0.79603,2.87014
24,0.7993,2.88504
24.1,0.80265,2.90068
24.2,0.80598,2.91623
24.3,0.80947,2.93271
24.4,0.81265,2.94712
24.5,0.81601,2.963
24.6,0.81935,2.97784
24.7,0.82274,2.99409
24.8,0.82594,3.00817
24.9,0.82922,3.02367
25,0.83267,3.03907
25.1,0.83585,3.05378
25.2,0.83924,3.06951
25.3,0.84275,3.08571
25.4,0.84595,3.10021
25.5,0.84917,3.11452
25.6,0.85281,3.1321
25.7,0.85599,3.14591
25.8,0.85929,3.16129
25.9,0.8628,3.17718
26,0.86613,3.19252
26.1,0.86913,3.20535
26.2,0.87263,3.2213
26.3,0.87594,3.23653
26.4,0.87924,3.25116
26.5,0.88258,3.26591
26.6,0.88599,3.28165
26.7,0.88925,3.29571
26.8,0.89262,3.31117
26.9,0.89601,3.32651
27,0.89951,3.34223
27.1,0.90269,3.3566
27.2,0.90595,3.37054
27.3,0.90946,3.3864
27.4,0.91261,3.39983
27.5,0.91589,3.41446
27.6,0.91938,3.42997
27.7,0.9226,3.44367
27.8,0.92578,3.45771
27.9,0.92938,3.47385
28,0.93256,3.48766
28.1,0.93588,3.50207
28.2,0.93945,3.51809
28.3,0.94278,3.53258
28.4,0.94589,3.54596
28.5,0.94939,3.56101
28.6,0.95273,3.57548
28.7,0.95602,3.59021
28.8,0.95927,3.60355
28.9,0.96268,3.6187
29,0.96588,3.63215
29.1,0.96919,3.6465
29.2,0.97259,3.66124
29.3,0.97609,3.67636
29.4,0.97926,3.68982
29.5,0.98265,3.70456
29.6,0.98611,3.71949
29.7,0.98928,3.73258
29.8,0.99262,3.74697
29.9,0.99617,3.76228
30,0.99942,3.77544
30.1,1.00248,3.78825
30.2,1.006,3.80325
30.3,1.00921,3.81681
30.4,1.01258,3.83057
30.5,1.01603,3.84575
30.6,1.0194,3.85965
30.7,1.02246,3.87218
30.8,1.02601,3.88674
30.9,1.02934,3.90113
31,1.03278,3.91529
31.1,1.03598,3.92836
31.2,1.03944,3.94305
31.3,1.0427,3.95617
31.4,1.04583,3.96869
31.5,1.04927,3.98291
31.6,1.05274,3.99772
31.7,1.05589,4.01008
31.8,1.05918,4.02368
31.9,1.06271,4.03856
32,1.06583,4.05074
32.1,1.06922,4.06491
32.2,1.0728,4.07968
32.3,1.07608,4.0931
32.4,1.07922,4.10545
32.5,1.08274,4.11983
32.6,1.086,4.13209
32.7,1.08938,4.14649
32.8,1.09267,4.15977
32.9,1.09603,4.17316
33,1.09911,4.18503
33.1,1.10262,4.19915
33.2,1.10591,4.21266
33.3,1.1094,4.22654
33.4,1.11259,4.23913
33.5,1.11605,4.25246
33.6,1.1194,4.26622
33.7,1.12262,4.27896
33.8,1.12597,4.29203
33.9,1.12952,4.30676
34,1.13269,4.31896
34.1,1.13586,4.33139
34.2,1.13943,4.3454
34.3,1.14249,4.35731
34.4,1.14584,4.37045
34.5,1.14937,4.38487
34.6,1.15275,4.39832
34.7,1.15579,4.41016
34.8,1.15936,4.42428
34.9,1.16264,4.43729
35,1.16598,4.45051
35.1,1.16938,4.46341
35.2,1.17283,4.47752
35.3,1.17596,4.48945
35.4,1.17932,4.50254
35.5,1.18262,4.51513
35.6,1.18595,4.52823
35.7,1.1892,4.54073
35.8,1.19261,4.5545
35.9,1.19598,4.56737
36,1.19925,4.58035
36.1,1.20257,4.59339
36.2,1.20614,4.60819
36.3,1.20935,4.62061
36.4,1.21257,4.63291
36.5,1.2162,4.64764
36.6,1.21935,4.66003
36.7,1.22261,4.67203
36.8,1.22607,4.68628
36.9,1.22938,4.69909
37,1.23241,4.71011
37.1,1.23601,4.72503
37.2,1.23928,4.73814
37.3,1.24262,4.75124
37.4,1.24593,4.76429
37.5,1.24942,4.77803
37.6,1.25258,4.79049
37.7,1.25596,4.80431
37.8,1.2594,4.81776
37.9,1.2628,4.83159
38,1.26598,4.84374
38.1,1.26927,4.8569
38.2,1.27269,4.8707
38.3,1.27585,4.88322
38.4,1.27922,4.89645
38.5,1.28274,4.91141
38.6,1.28596,4.92372
38.7,1.28915,4.93634
38.8,1.29273,4.95122
38.9,1.29595,4.96397
39,1.29927,4.97763
39.1,1.30287,4.99252
39.2,1.30613,5.00597
39.3,1.3092,5.01793
39.4,1.31271,5.03305
39.5,1.31601,5.04652
39.6,1.31924,5.05971
39.7,1.32261,5.0741
39.8,1.326,5.08843
39.9,1.32922,5.10215
40,1.33259,5.1161
40.1,1.33594,5.13035
40.2,1.33943,5.14551
40.3,1.34263,5.1586
40.4,1.34601,5.17249
40.5,1.34942,5.18644
40.6,1.3526,5.19911
40.7,1.35596,5.2126
40.8,1.35945,5.22732
40.9,1.3626,5.23898
41,1.36578,5.25165
41.1,1.36936,5.26671
41.2,1.37254,5.27817
41.3,1.37589,5.29148
41.4,1.37938,5.30537
41.5,1.38273,5.31827
41.6,1.38586,5.33029
41.7,1.38937,5.34388
41.8,1.39276,5.35678
41.9,1.39606,5.36897
42,1.39936,5.38131
42.1,1.40275,5.39351
42.2,1.40595,5.40529
42.3,1.40914,5.41695
42.4,1.41258,5.43038
42.5,1.41611,5.44388
42.6,1.41925,5.4547
42.7,1.42256,5.46657
42.8,1.42604,5.48002
42.9,1.42927,5.49159
43,1.43261,5.50377
43.1,1.43624,5.5177
43.2,1.43942,5.52836
43.3,1.44256,5.53926
43.4,1.44605,5.55227
43.5,1.44927,5.56361
43.6,1.45252,5.57545
43.7,1.45597,5.58773
43.8,1.45939,5.60009
43.9,1.46246,5.61023
44,1.46594,5.62275
44.1,1.46928,5.63496
44.2,1.4727,5.64705
44.3,1.47598,5.65856
44.4,1.47946,5.6713
44.5,1.48272,5.68175
44.6,1.4859,5.6925
44.7,1.48933,5.70447
44.8,1.49284,5.7176
44.9,1.49592,5.72712
45,1.49916,5.73762
45.1,1.50269,5.75111
45.2,1.50591,5.76135
45.3,1.50923,5.77245
45.4,1.51274,5.78536
45.5,1.51606,5.79657
45.6,1.51918,5.80635
45.7,1.5228,5.81988
45.8,1.52604,5.82996
45.9,1.52934,5.84151
46,1.53272,5.85246
46.1,1.53615,5.86413
46.2,1.53921,5.87351
46.3,1.54259,5.88483
46.4,1.5459,5.89585
46.5,1.54931,5.90751
46.6,1.55255,5.91787
46.7,1.55602,5.9296
46.8,1.55932,5.94104
46.9,1.56252,5.95096
47,1.56599,5.96305
47.1,1.56955,5.97569
47.2,1.57268,5.985
47.3,1.5759,5.99526
47.4,1.57949,6.00779
47.5,1.58257,6.01682
47.6,1.58583,6.02742
47.7,1.58935,6.0396
47.8,1.59269,6.05004
47.9,1.59575,6.05955
48,1.59937,6.07209
48.1,1.60263,6.0823
48.2,1.60595,6.09263
48.3,1.60932,6.1035
48.4,1.6128,6.11538
48.5,1.61596,6.12495
48.6,1.61939,6.1356
48.7,1.62272,6.14585
48.8,1.62605,6.15692
48.9,1.62928,6.16639
49,1.6326,6.17678
49.1,1.63597,6.18775
49.2,1.63919,6.19757
49.3,1.64258,6.20844
49.4,1.6461,6.21997
49.5,1.64929,6.2294
49.6,1.65252,6.23865
49.7,1.65614,6.25097
49.8,1.65931,6.26033
49.9,1.66263,6.27004
50,1.66613,6.28154
50.1,1.66942,6.2912
50.2,1.67246,6.29935
50.3,1.67601,6.3116
50.4,1.67925,6.32057
50.5,1.68253,6.33026
50.6,1.68595,6.34113
50.7,1.68936,6.35195
50.8,1.69255,6.36037
50.9,1.69596,6.3712
51,1.69935,6.38189
51.1,1.7028,6.39199
51.2,1.70604,6.40115
51.3,1.70931,6.41059
51.4,1.71273,6.42074
51.5,1.71596,6.42975
51.6,1.71929,6.43975
51.7,1.72275,6.45013
51.8,1.72593,6.45878
51.9,1.72915,6.4671
52,1.73277,6.47872
52.1,1.73589,6.48653
52.2,1.73919,6.49635
52.3,1.74278,6.50744
52.4,1.7461,6.51715
52.5,1.74923,6.52507
52.6,1.75274,6.53513
52.7,1.75602,6.54473
52.8,1.75931,6.55287
52.9,1.76263,6.5625
53,1.76603,6.57257
53.1,1.76915,6.58012
53.2,1.77251,6.58967
53.3,1.77594,6.59997
53.4,1.77943,6.61002
53.5,1.78258,6.61746
53.6,1.78597,6.62706
53.7,1.78937,6.63696
53.8,1.79263,6.64524
53.9,1.79598,6.65434
54,1.79952,6.66496
54.1,1.80269,6.67248
54.2,1.80583,6.68035
54.3,1.80938,6.69052
54.4,1.81251,6.69839
54.5,1.81589,6.7081
54.6,1.8194,6.71767
54.7,1.82274,6.72679
54.8,1.8258,6.73337
54.9,1.82933,6.74381
55,1.83265,6.75221
55.1,1.83608,6.76189
55.2,1.83937,6.7697
55.3,1.84282,6.77947
55.4,1.84597,6.78683
55.5,1.84919,6.79518
55.6,1.85266,6.8047
55.7,1.85607,6.81432
55.8,1.85918,6.82126
55.9,1.86255,6.8305
56,1.86603,6.84001
56.1,1.86919,6.8475
56.2,1.87254,6.85635
56.3,1.87614,6.86664
56.4,1.87939,6.87517
56.5,1.88261,6.88223
56.6,1.8861,6.8921
56.7,1.88927,6.89898
56.8,1.89263,6.90825
56.9,1.89604,6.91642
57,1.89939,6.92557
57.1,1.90242,6.93196
57.2,1.90597,6.942
57.3,1.90927,6.95018
57.4,1.91271,6.95855
57.5,1.91593,6.96641
57.6,1.91939,6.97537
57.7,1.9227,6.98331
57.8,1.926,6.99156
57.9,1.92934,6.9995
58,1.93286,7.00867
58.1,1.936,7.01593
58.2,1.93924,7.02314
58.3,1.94277,7.03292
58.4,1.94579,7.03892
58.5,1.94916,7.04731
58.6,1.95271,7.05714
58.7,1.95607,7.06468
58.8,1.95913,7.07064
58.9,1.9627,7.08111
59,1.96597,7.08838
59.1,1.96932,7.0968
59.2,1.97273,7.1048
59.3,1.97616,7.11344
59.4,1.97922,7.12
59.5,1.98266,7.12851
59.6,1.98597,7.13566
59.7,1.98926,7.14372
59.8,1.99254,7.15139
59.9,1.99598,7.15989
60,1.99928,7.16756
60.1,2.00258,7.17493
60.2,2.0059,7.18288
60.3,2.00946,7.19193
60.4,2.01266,7.19862
60.5,2.01595,7.20628
60.6,2.01952,7.21527
60.7,2.02266,7.22175
60.8,2.02593,7.22905
60.9,2.02943,7.23853
61,2.03268,7.24518
61.1,2.03575,7.25127
61.2,2.03937,7.26047
61.3,2.0426,7.26738
61.4,2.04593,7.27493
61.5,2.04928,7.28302
61.6,2.05274,7.29125
61.7,2.05589,7.29787
61.8,2.05935,7.30574
61.9,2.06273,7.31396
62,2.06609,7.32139
62.1,2.06931,7.32776
62.2,2.07266,7.33548
62.3,2.07599,7.3434
62.4,2.07919,7.35019
62.5,2.08257,7.35781
62.6,2.08607,7.36688
62.7,2.08928,7.37317
62.8,2.0925,7.37988
62.9,2.09608,7.38942
63,2.09926,7.39588
63.1,2.10261,7.40333
63.2,2.10619,7.41206
63.3,2.10944,7.41888
63.4,2.11252,7.42493
63.5,2.11606,7.434
63.6,2.11933,7.44031
63.7,2.12254,7.44727
63.8,2.12599,7.45564
63.9,2.12934,7.46287
64,2.13254,7.4693
64.1,2.13596,7.47698
64.2,2.13929,7.4841
64.3,2.14274,7.49237
64.4,2.14598,7.49882
64.5,2.14938,7.50556
64.6,2.15273,7.51313
64.7,2.15593,7.51936
64.8,2.15932,7.52665
64.9,2.16278,7.53443
65,2.16588,7.53972
65.1,2.16915,7.54616
65.2,2.17269,7.55481
65.3,2.17588,7.56133
65.4,2.17924,7.569
65.5,2.18275,7.57731
65.6,2.18604,7.58396
65.7,2.18917,7.58949
65.8,2.19272,7.59803
65.9,2.19607,7.60515
66,2.19934,7.61129
66.1,2.2027,7.61826
66.2,2.20611,7.62572
66.3,2.20924,7.63116
66.4,2.21249,7.63731
66.5,2.21593,7.64569
66.6,2.21941,7.65279
66.7,2.2226,7.65842
66.8,2.22595,7.66545
66.9,2.22935,7.67281
67,2.23259,7.6787
67.1,2.23597,7.68571
67.2,2.2396,7.69456
67.3,2.2427,7.69902
67.4,2.24589,7.70456
67.5,2.24941,7.71242
67.6,2.25255,7.71809
67.7,2.25586,7.72392
67.8,2.25934,7.73138
67.9,2.26269,7.73783
68,2.2658,7.74269
68.1,2.26931,7.75032
68.2,2.27263,7.75665
68.3,2.27599,7.76318
68.4,2.27934,7.76937
68.5,2.28281,7.77624
68.6,2.28601,7.78165
68.7,2.28923,7.78681
68.8,2.29266,7.79421
68.9,2.29615,7.8016
69,2.29925,7.80557
69.1,2.30253,7.81171
69.2,2.306,7.81936
69.3,2.30922,7.82377
69.4,2.31253,7.82927
69.5,2.31608,7.83717
69.6,2.31938,7.84272
69.7,2.32254,7.84721
69.8,2.32614,7.85455
69.9,2.32933,7.85935
70,2.33266,7.86495
70.1,2.33609,7.87109
70.2,2.33948,7.87771
70.3,2.3425,7.88119
70.4,2.34594,7.8882
70.5,2.34923,7.89375
70.6,2.35263,7.89934
70.7,2.35592,7.90476
70.8,2.35937,7.9108
70.9,2.36262,7.91608
71,2.36587,7.92058
71.1,2.36933,7.92771
71.2,2.37284,7.93416
71.3,2.376,7.93763
71.4,2.37927,7.94281
71.5,2.3828,7.94905
71.6,2.38589,7.95301
71.7,2.3892,7.95838
71.8,2.39269,7.96539
71.9,2.396,7.97078
72,2.39912,7.97414
72.1,2.40273,7.98163
72.2,2.40595,7.98567
72.3,2.40925,7.99083
72.4,2.41269,7.99675
72.5,2.41616,8.00313
72.6,2.41928,8.00643
72.7,2.42272,8.01243
72.8,2.42601,8.01725
72.9,2.42936,8.02261
73,2.43263,8.02735
73.1,2.43596,8.03266
73.2,2.43926,8.03799
73.3,2.44254,8.04275
73.4,2.44595,8.04873
73.5,2.44942,8.05477
73.6,2.45259,8.05883
73.7,2.4559,8.06403
73.8,2.45944,8.07119
73.9,2.46262,8.07433
74,2.46595,8.07923
74.1,2.46947,8.08615
74.2,2.47272,8.09078
74.3,2.47578,8.09362
74.4,2.47937,8.10038
74.5,2.48258,8.10499
74.6,2.48586,8.10946
74.7,2.48933,8.1158
74.8,2.49271,8.12129
74.9,2.49583,8.12478
75,2.4993,8.13086
75.1,2.50269,8.13631
75.2,2.50611,8.14236
75.3,2.50937,8.14562
75.4,2.51268,8.15093
75.5,2.51604,8.15647
75.6,2.51928,8.16081
75.7,2.52264,8.16507
75.8,2.52606,8.17073
75.9,2.52925,8.17363
76,2.53252,8.17739
76.1,2.53607,8.18343
76.2,2.53922,8.18598
76.3,2.54254,8.19059
76.4,2.54615,8.19725
76.5,2.54942,8.20069
76.6,2.55256,8.20341
76.7,2.55608,8.20987
76.8,2.55934,8.2137
76.9,2.56261,8.21725
77,2.56599,8.22137
77.1,2.56937,8.22664
77.2,2.57248,8.22885
77.3,2.57593,8.23461
77.4,2.57929,8.23912
77.5,2.58272,8.24408
77.6,2.58592,8.24765
77.7,2.58935,8.25256
